关键词,词级,搜索意图,目标页面,页面类型,优先级,核心SEO动作
明日方舟人物关系图,核心词,工具型,/,工具首页,P0,功能词进title+H1;关系图可交互
明日方舟人物关系,核心词,信息型,/,工具首页,P0,首页H1与正文覆盖
明日方舟人物,核心词,导航型,/characters/,名录页,P0,名录页title;聚合全部实体
明日方舟干员,核心词,信息型,/characters/,名录页,P1,名录页同义词覆盖
明日方舟角色关系网,二级词,工具型,/,工具首页,P1,功能词变体进description
阿米娅,实体词,导航型,/characters/amiya/,角色百科,P1,人物名做H1+title
阿米娅是谁,长尾词,信息型,/characters/amiya/,角色百科,P1,H2复刻问句+答案前置
阿米娅是什么种族,长尾词,信息型,/characters/amiya/,角色百科,P2,FAQ段+FAQPage结构化数据
博士,实体词,导航型,/characters/doctor/,角色百科,P1,人物名做H1+title
博士是谁,长尾词,信息型,/characters/doctor/,角色百科,P1,H2复刻问句+答案前置
博士为什么失忆,长尾词,信息型,/characters/doctor/,角色百科,P2,FAQ段+答案前置
凯尔希,实体词,导航型,/characters/kaltsit/,角色百科,P1,人物名做H1+title
凯尔希是谁,长尾词,信息型,/characters/kaltsit/,角色百科,P1,H2复刻问句+答案前置
凯尔希身世,长尾词,信息型,/characters/kaltsit/,角色百科,P2,背景段落
特蕾西娅,实体词,导航型,/characters/theresa/,角色百科,P1,人物名做H1+title
特蕾西娅是谁,长尾词,信息型,/characters/theresa/,角色百科,P1,H2复刻问句+答案前置
特蕾西娅怎么死的,长尾词,信息型,/characters/theresa/,角色百科,P2,FAQ段
塔露拉,实体词,导航型,/characters/talulah/,角色百科,P1,人物名做H1+title
塔露拉是谁,长尾词,信息型,/characters/talulah/,角色百科,P1,H2复刻问句+答案前置
塔露拉为什么背叛,长尾词,信息型,/characters/talulah/,角色百科,P2,FAQ段+答案前置
W,实体词,导航型,/characters/w/,角色百科,P1,人物名做H1+title
W是谁,长尾词,信息型,/characters/w/,角色百科,P1,H2复刻问句+答案前置
W是什么阵营,长尾词,信息型,/characters/w/,角色百科,P2,阵营段+内链到阵营页
霜星,实体词,导航型,/characters/frostnova/,角色百科,P1,人物名做H1+title
霜星是谁,长尾词,信息型,/characters/frostnova/,角色百科,P2,H2复刻问句+答案前置
德克萨斯,实体词,导航型,/characters/texas/,角色百科,P1,人物名做H1+title
德克萨斯是谁,长尾词,信息型,/characters/texas/,角色百科,P1,H2复刻问句+答案前置
德克萨斯身世,长尾词,信息型,/characters/texas/,角色百科,P2,背景段落
能天使,实体词,导航型,/characters/exusiai/,角色百科,P1,人物名做H1+title
能天使是谁,长尾词,信息型,/characters/exusiai/,角色百科,P1,H2复刻问句+答案前置
塞雷娅,实体词,导航型,/characters/saria/,角色百科,P1,人物名做H1+title
塞雷娅是谁,长尾词,信息型,/characters/saria/,角色百科,P2,H2复刻问句+答案前置
伊芙利特,实体词,导航型,/characters/ifrit/,角色百科,P1,人物名做H1+title
伊芙利特是谁,长尾词,信息型,/characters/ifrit/,角色百科,P2,H2复刻问句+答案前置
凯尔希和博士什么关系,长尾词,信息型,/relations/kaltsit-doctor/,关系对页,P1,H2复刻问句+FAQPage
阿米娅和特蕾西娅的关系,长尾词,信息型,/relations/amiya-theresa/,关系对页,P1,H2问句+答案前置
阿米娅和凯尔希什么关系,长尾词,信息型,/relations/amiya-kaltsit/,关系对页,P1,H2复刻问句
阿米娅和博士什么关系,长尾词,信息型,/relations/amiya-doctor/,关系对页,P1,H2复刻问句
凯尔希和特蕾西娅关系,长尾词,信息型,/relations/kaltsit-theresa/,关系对页,P2,H2复刻问句
塔露拉和特蕾西娅,长尾词,信息型,/relations/talulah-theresa/,关系对页,P2,H2复刻问句
塔露拉和阿米娅,长尾词,信息型,/relations/talulah-amiya/,关系对页,P1,H2问句(对立关系重点)
塔露拉和W关系,长尾词,信息型,/relations/talulah-w/,关系对页,P2,H2复刻问句
塔露拉和霜星,长尾词,信息型,/relations/talulah-frostnova/,关系对页,P2,H2复刻问句
W和德克萨斯关系,长尾词,信息型,/relations/w-texas/,关系对页,P1,H2复刻问句
德克萨斯和能天使,长尾词,信息型,/relations/texas-exusiai/,关系对页,P1,H2复刻问句
塞雷娅和伊芙利特,长尾词,信息型,/relations/saria-ifrit/,关系对页,P2,H2复刻问句
塞雷娅和阿米娅,长尾词,信息型,/relations/saria-amiya/,关系对页,P2,H2复刻问句
罗德岛成员有哪些,二级词,信息型,/factions/rhodes/,阵营专题,P1,H2成员列表+ItemList
罗德岛干员,二级词,信息型,/factions/rhodes/,阵营专题,P2,同义词覆盖
整合运动有哪些人,二级词,信息型,/factions/reunion/,阵营专题,P1,H2成员列表+ItemList
整合运动成员,二级词,信息型,/factions/reunion/,阵营专题,P1,成员卡片内链
企鹅物流成员,二级词,信息型,/factions/penguin/,阵营专题,P2,H2成员列表
莱茵生命,二级词,导航型,/factions/rhine/,阵营专题,P2,阵营介绍
明日方舟势力,二级词,信息型,/factions/,阵营总览,P2,聚合4阵营内链
